id;budget;genres;imdb_id;original_language;original_title;overview;popularity;production_companies;production_countries;release_date;revenue;runtime;spoken_languages;status;tagline;title;vote_average;vote_count;production_companies_number;production_countries_number;spoken_languages_number
956;150000000;Adventure|Action|Thriller;tt0317919;en;Mission: Impossible III;Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.;4.048455;Paramount Pictures;China;03/05/2006;397850012;126;Deutsch;Released;The Mission Begins 05:05:06.;Mission: Impossible III;6.5;1897;7;3;6
957;22700000;Comedy|Science Fiction;tt0094012;en;Spaceballs;"When the nefarious Dark Helmet hatches a plan to snatch Princess Vespa and steal her planet's air, space-bum-for-hire Lone Starr and his clueless sidekick fly to the rescue. Along the way, they meet Yogurt, who puts Lone Starr wise to the power of ""The Schwartz."" Can he master it in time to save the day?";4.453449;Brooksfilms Ltd.;United States of America;24/06/1987;38119483;96;English;Released;May the schwartz be with you;Spaceballs;6.7;840;2;1;1
961;750000;Action|Adventure|Comedy|Drama;tt0017925;en;The General;During America’s Civil War Union spies steal engineer Johnnie Gray's (Buster Keaton's) beloved locomotive The General and he single-handedly must do all in his power to get it back. Released throughout most of the world in 1927, this Silent comedy-action film flopped when originally released, but now is regarded as one of the great American motion pictures. The story is based on actual historic events.;1.836467;Buster Keaton Productions;United States of America;31/12/1926;0;79;English;Released;"Buster drives ""The General"" to trainload of laughter. (Trade paper ad).";The General;7.9;216;2;1;1
962;923000;Adventure|Comedy|Drama;tt0015864;en;The Gold Rush;A lone prospector ventures into Alaska looking for gold. He gets mixed up with some burly characters and falls in love with the beautiful Georgia. He tries to win her heart with his singular charm.;1.01308;Charles Chaplin Productions;United States of America;25/06/1925;2500000;95;English;Released;The World's Greatest Laughing Picture!;The Gold Rush;7.7;272;1;1;1
963;375000;Mystery|Crime|Thriller;tt0033870;en;The Maltese Falcon;A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.;1.955844;Warner Bros.;United States of America;18/11/1941;1000000;100;English;Released;A story as EXPLOSIVE as his BLAZING automatics!;The Maltese Falcon;7.7;395;1;1;1
964;0;Drama|Horror;tt0016220;en;The Phantom of the Opera;"A grotesquely disfigured composer known as the ""Phantom"" haunts Paris' opera house, where he's secretly grooming Christine Daae to be an opera diva. Luring her to his underground lair, the Phantom declares his love. But Christine loves Raoul de Chagny and plans to elope with him after her next performance. When the Phantom finds out, he abducts Christine, incurring the wrath of Raoul -- and a horde of rabid Parisians.";0.798751;Universal Pictures;United States of America;06/09/1925;0;101;English;Released;The greatest horror film of modern cinema!;The Phantom of the Opera;7.0;70;1;1;1
965;0;Drama;tt0035015;en;The Magnificent Ambersons;The spoiled young heir to the decaying Amberson fortune comes between his widowed mother and the man she has always loved.;0.558718;RKO Radio Pictures;United States of America;10/07/1942;0;88;English;Released;;The Magnificent Ambersons;7.5;68;2;1;1
966;2000000;Western;tt0054047;en;The Magnificent Seven;An oppressed Mexican peasant village hires seven gunfighters to help defend their homes.;2.885593;The Mirisch Corporation;United States of America;23/10/1960;4905000;128;English;Released;They were seven - And they fought like seven hundred!;The Magnificent Seven;7.4;417;2;1;2
967;12000000;Action|Drama|History;tt0054331;en;Spartacus;Spartacus is a 1960 American historical drama film directed by Stanley Kubrick and based on the novel of the same name by Howard Fast about the historical life of Spartacus and the Third Servile War. The film stars Kirk Douglas as the rebellious slave Spartacus who leads a violent revolt against the decadent Roman empire. The film was awarded four Oscars and stands today as one of the greatest classics of the Sword and Sandal genre.;2.362693;Bryna Productions;United States of America;06/10/1960;60000000;197;English;Released;More titanic than any story ever told!;Spartacus;7.3;425;2;1;1
968;1800000;Crime|Drama|Thriller;tt0072890;en;Dog Day Afternoon;"A man robs a bank to pay for his lover's operation; it turns into a hostage situation and a media circus.";2.247543;Artists Entertainment Complex;United States of America;11/08/1975;46665856;125;English;Released;The most bizarre bank siege ever;Dog Day Afternoon;7.6;618;2;1;1
975;935000;Drama|War;tt0050825;en;Paths of Glory;During World War I, commanding officer General Broulard (Adolphe Menjou) orders his subordinate, General Mireau (George Macready), to attack a German trench position, offering a promotion as an incentive. Though the mission is foolhardy to the point of suicide, Mireau commands his own subordinate, Colonel Dax (Kirk Douglas), to plan the attack. When it ends in disaster, General Mireau demands the court-martial of three random soldiers in order to save face.;3.155678;United Artists;United States of America;18/09/1957;0;88;English;Released;It explodes in the no-man's land no picture ever dared cross before!;Paths of Glory;8.1;500;2;1;3
976;0;Drama;tt0051036;en;Sweet Smell of Success;New York City newspaper writer J.J. Hunsecker holds considerable sway over public opinion with his Broadway column, but one thing that he can't control is his younger sister, Susan, who is in a relationship with aspiring jazz guitarist Steve Dallas. Hunsecker strongly disproves of the romance and recruits publicist Sidney Falco to find a way to split the couple, no matter how ruthless the method.;0.070623;Hecht-Hill-Lancaster Productions;United States of America;27/06/1957;0;96;English;Released;The almighty J.J... the columnist with sixty million believers... his wrath is feared by the great and near great who worship the sweet smell of success!;Sweet Smell of Success;7.5;96;1;1;1
977;0;Adventure|Drama|Romance;tt0022458;en;Tabu;"The youngsters Matahi and Reri are in love with each other. The old warrior Hitu announces that Reri is to be the new chosen virgin for the gods. This means she must stay untouched, otherwise she and her lover will be killed. But Matahi abducts and escapes with her to an island ruled by the white man, where their gods would be harmless and powerless. Tabu is the last film from director F.W. Murnau; he died before the film’s premiere in a car accident.";0.087056;Murnau-Flaherty Productions;United States of America;18/03/1931;0;84;English;Released;;Tabu;7.4;34;1;1;1
978;70000000;Adventure|Drama|History;tt0120102;en;Seven Years in Tibet;Austrian mountaineer, Heinrich Harrer journeys to the Himalayas without his family to head an expedition in 1939. But when World War II breaks out, the arrogant Harrer falls into Allied forces' hands as a prisoner of war. He escapes with a fellow detainee and makes his way to Llaso, Tibet, where he meets the 14-year-old Dalai Lama, whose friendship ultimately transforms his outlook on life.;3.440003;TriStar Pictures;United States of America;12/09/1997;131457682;136;English;Released;At the end of the world his real journey began.;Seven Years in Tibet;6.9;582;4;1;1
979;0;Drama|Thriller|Crime|Mystery;tt0290673;fr;Irréversible;Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in the underpass. Her boyfriend and ex-lover take matters into their own hands by hiring two criminals to help them find the rapist so that they can exact revenge. A simultaneously beautiful and terrible examination of the destructive nature of cause and effect, and how time destroys everything.;4.310747;Eskwad;France;22/05/2002;792;97;Français;Released;Time destroys everything.;Irreversible;7.0;495;7;1;1
980;0;Action|Drama|Western;tt0036244;en;The Ox-Bow Incident;Gil Carter and Art Croft ride into a small Nevada town plagued by cattle thieves. Initially suspected of being the rustlers themselves, Carter and Croft eventually join a posse out to get the criminals, who also may be involved in a recent shooting. When the posse closes in on a group that could be the fugitives, they must decide on a course of action, with numerous lives hanging in the balance.;1.54866;Twentieth Century Fox Film Corporation;United States of America;11/03/1943;0;75;English;Released;Tough! True! Terrifying!;The Ox-Bow Incident;7.9;67;1;1;1
981;0;Comedy|Romance;tt0032904;en;The Philadelphia Story;"Philadelphia heiress Tracy Lord throws out her playboy husband C.K. Dexter Haven shortly after their marriage. Two years later, Tracy is about to marry respectable George Kittredge whilst Dexter has been working for ""Spy"" magazine. Dexter arrives at the Lord's mansion the day before the wedding with journalist Mike Connor and photographer Liz Imbrie, determined to spoil things.";0.545739;Metro-Goldwyn-Mayer (MGM);United States of America;01/12/1940;0;112;English;Released;Broadway's howling year-run comedy hit of the snooty society beauty who slipped and fell - IN LOVE!;The Philadelphia Story;7.6;176;1;1;1
982;80000000;Mystery|Thriller;tt0056218;en;The Manchurian Candidate;The Manchurian Candidate is a political thriller from American director John Frankenheimer. An American soldier is brainwashed into being a killer for the communist Russians during the Korean War.;1.01849;United Artists;United States of America;24/10/1962;96105910;126;English;Released;When you've seen it all, you'll swear there's never been anything like it!;The Manchurian Candidate;7.7;168;2;1;1
983;0;Adventure|Drama;tt0073341;en;The Man Who Would Be King;"A robust adventure about two British adventurers who take over primitive Kafiristan as ""godlike"" rulers, meeting a tragic end through their desire for a native girl. Based on a short story by Rudyard Kipling.";1.452325;Persky-Bright Productions;United States of America;03/12/1975;0;129;English;Released;Rudyard Kipling's epic of splendor, spectacle and high adventure at the top of a legendary world.;The Man Who Would Be King;7.6;132;2;2;1
984;4000000;Action|Crime|Thriller;tt0066999;en;Dirty Harry;When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.;2.341653;Warner Bros.;United States of America;21/12/1971;35976000;102;Español;Released;Detective Harry Callahan. He doesn't break murder cases. He smashes them.;Dirty Harry;7.4;574;2;1;2
985;10000;Drama|Fantasy|Horror|Science Fiction;tt0074486;en;Eraserhead;Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child.;1.471364;American Film Institute (AFI);United States of America;19/03/1977;7000000;89;English;Released;Where your nightmares end...;Eraserhead;7.4;428;2;1;1
986;800;Comedy|Drama|History;tt0059012;en;Falstaff;The career of Shakespeare's Sir John Falstaff as roistering companion to young Prince Hal, circa 1400-1413.;0.458583;Internacional Films Espagnol;Switzerland;22/12/1965;0;115;English;Released;;Chimes at Midnight;6.8;34;3;3;2
987;4000000;Romance|Drama|Comedy;tt0071524;en;The Front Page;A journalist suffering from burn-out wants to finally say goodbye to his office – but his boss doesn’t like the idea one bit.;1.904577;Universal Studios;United States of America;01/12/1974;0;105;English;Released;;The Front Page;6.9;60;1;1;1
988;5900000;Thriller|Drama;tt0078966;en;The China Syndrome;While doing a series of reports on alternative energy sources, an opportunistic reporter Kimberly Wells witnesses an accident at a nuclear power plant. Wells is determined to publicise the incident but soon finds herself entangled in a sinister conspiracy to keep the full impact of the incident a secret.;0.365859;Columbia Pictures;United States of America;16/03/1979;51718367;122;English;Released;Sometimes it’s too late to tell the truth.;The China Syndrome;7.0;96;2;1;1
989;0;Drama;tt0032811;en;The Mortal Storm;The Roth family leads a quiet life in a small village in the German Alps during the early 1930s. When the Nazis come to power, the family is divided and Martin Brietner, a family friend is caught up in the turmoil.;0.639618;Metro-Goldwyn-Mayer (MGM);United States of America;14/06/1940;0;100;English;Released;The Most Exciting Picture!;The Mortal Storm;7.1;13;1;1;2
990;2000000;Drama;tt0054997;en;The Hustler;Fast Eddie Felson is a small-time pool hustler with a lot of talent but a self-destructive attitude. His bravado causes him to challenge the legendary Minnesota Fats to a high-stakes match.;1.341482;Twentieth Century Fox Film Corporation;United States of America;25/09/1961;7600000;134;English;Released;They called him Fast Eddie. He was a winner. He was a loser. He was a hustler.;The Hustler;7.7;224;2;1;1
991;1500000;Drama|Science Fiction;tt0074851;en;The Man Who Fell to Earth;Thomas Jerome Newton is an alien who comes to Earth to get water for his dying planet. He starts a high technology company to get the billions of dollars he needs to build a return spacecraft. A British science-fiction film from director Nicolas Roeg and starring David Bowie.;1.628343;British Lion Films;United Kingdom;18/03/1976;0;138;English;Released;You have to believe it to see it;The Man Who Fell to Earth;6.4;131;1;1;1
992;0;Fantasy|Drama|Comedy|Mystery;tt0015324;en;Sherlock, Jr.;A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.;0.878918;Metro Pictures;United States of America;21/04/1924;0;49;English;Released;Every inch of footage holds such a laugh!;Sherlock, Jr.;8.1;120;1;1;1
993;0;Thriller|Mystery;tt0069281;en;Sleuth;The mystery stage play by Anthony Shaffer was adapted by the author into this stylish film from director Joseph L. Manciewicz. Laurence Olivier stars as Andrew Wyke, a best-selling author of detective fiction living in a grand 16th century mansion. Andrew is visited by Milo Tindle (Michael Caine), owner of a hair salon chain, and reveals to his guest that he's aware of Milo's affair with his wife Marguerite. Rather than being vengeful, however, Andrew professes he's glad to be rid of his troublesome spouse. To avoid paying heavy alimony, Andrew suggests that Milo disguise himself as a clown and steal his wife's expensive jewelry. That way Marguerite and Milo can obtain financial security while Andrew claims the loss on his insurance and all walk away rich. Andrew's plan is a devious one, however, designed to toy with his wife's lover, and a series of deceptions and counter-deceptions are launched in which nothing is as it seems.;1.10637;Palomar Pictures;United Kingdom;10/12/1972;0;138;English;Released;If it was murder, where's the body?;Sleuth;7.4;134;1;1;1
994;2200000;Crime|Drama|Thriller|Mystery;tt0067800;en;Straw Dogs;A young American and his English wife come to rural England and face increasingly vicious local harassment.;1.319442;ABC Pictures;United Kingdom;29/12/1971;3251794;118;English;Released;No good, no bad, no justice.;Straw Dogs;7.2;208;1;2;1
995;531374;Western;tt0031971;en;Stagecoach;A simple stagecoach trip is complicated by the fact that Geronimo is on the warpath in the area. The passengers on the coach include a drunken doctor, two women, a bank manager who has taken off with his client's money, and the famous Ringo Kid, among others.;1.786505;United Artists;United States of America;02/03/1939;1103757;96;English;Released;Danger holds the reins as the devil cracks the whip! Desperate men! Frontier women! Rising above their pasts in a West corrupted by violence and gun-fire!;Stagecoach;7.5;193;1;1;1
996;927262;Drama|Mystery|Thriller;tt0036775;en;Double Indemnity;Unsuspecting Mr. Dietrichson becomes increasingly accident prone after his icily calculating wife encourages him to sign a double indemnity policy proposed by a smooth-talking insurance agent. Against a backdrop of distinctly California settings, the partners in crime plan the perfect murder to collect the insurance. Perfect until a claims manager gets a familiar feeling of foul play and pursues the matter relentlessly.;1.025513;Paramount Pictures;United States of America;24/04/1944;2500000;107;English;Released;From the Moment they met it was Murder!;Double Indemnity;8.0;385;1;1;1
1018;15000000;Thriller|Drama|Mystery;tt0166924;en;Mulholland Drive;After a car wreck on the winding Mulholland Drive renders a woman amnesic, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.;4.371764;Asymmetrical Productions;France;16/05/2001;20117339;147;Español;Released;An actress longing to be a star. A woman searching for herself. Both worlds will collide... on Mulholland Drive.;Mulholland Drive;7.6;1340;5;2;2
1023;3700000;Drama|Comedy|Crime;tt0418455;da;Adams æbler;A neo-nazi sentenced to community service at a church clashes with the blindly devotional priest.;1.495508;M&M Productions;Denmark;15/04/2005;0;94;Dansk;Released;;Adam's Apples;7.4;181;1;2;1
1024;5000000;Drama|Fantasy;tt0110005;en;Heavenly Creatures;Based on the true story of Juliet Hulme and Pauline Parker, two close friends who share a love of fantasy and literature, who conspire to kill Pauline's mother when she tries to end the girls' intense and obsessive relationship.;0.917889;WingNut Films;New Zealand;02/09/1994;3049135;99;English;Released;From a secret world no one could see... came a crime no one could believe.;Heavenly Creatures;6.9;281;4;1;1
1039;0;Drama|Foreign;tt0141824;de;Die Siebtelbauern;In a small farming valley in Austria in the beginning of the 20th century a tyrannical farmer is found dead, and all the farmhands are relieved to be free of their tyrant. But the farmer was childless, so suddenly they all inherit the farm together. Now conflicts begin, as nobody is the boss and nobody has to obey.;0.13655;Bayerischer Rundfunk;Austria;19/06/1998;0;95;Deutsch;Released;The rich get richer... and sometimes the poor get richer too.;The Inheritors;6.9;6;3;1;1
1040;0;Drama;tt0057091;it;Il gattopardo;As Garibaldi's troops begin the unification of Italy in the 1860s, an aristocratic Sicilian family grudgingly adapts to the sweeping social changes undermining their way of life. Proud but pragmatic Prince Don Fabrizio Salina allows his war hero nephew, Tancredi, to marry Angelica, the beautiful daughter of gauche, bourgeois Don Calogero, in order to maintain the family's accustomed level of comfort and political clout.;0.414461;Titanus;France;28/03/1963;0;185;Italiano;Released;;The Leopard;7.7;118;4;2;3
1049;0;Drama|Thriller|Mystery|Romance;tt0108185;en;Sommersby;Set in the south of the United States just after the Civil War, Laurel Sommersby is just managing to work the farm without her husband Jack, believed killed in the Civil War. By all accounts, Jack Sommersby was not a pleasant man, thus when he returns, Laurel has mixed emotions. It appears that Jack has changed a great deal, leading some people to believe that this is not actually Jack but an imposter. Laurel herself is unsure, but willing to take the man into her home, and perhaps later into her heart...;0.912218;Canal Plus;France;05/02/1993;140081992;109;English;Released;She knew his face. His touch. His voice. She knew everything about him... But the truth.;Sommersby;5.9;77;3;2;1
1050;0;Comedy|Drama|Foreign;tt0215369;zh;Xizao;An aged father and his younger, mentally challenged son have been working hard every day to keep the bathhouse running for a motley group of regular customers. When his elder son, who left years ago to seek his fortune in the southern city of Shenzhen, abruptly returns one day, it once again puts under stress the long-broken father-son ties. Presented as a light-hearted comedy, Shower explores the value of family, friendship, and tradition.;0.870633;Imar Film Co., Ltd.;China;13/09/1999;0;92;English;Released;;Shower;6.9;19;1;1;3
1051;1800000;Action|Crime|Thriller;tt0067116;en;The French Connection;Tough narcotics detective 'Popeye' Doyle is in hot pursuit of a suave French drug dealer who may be the key to a huge heroin-smuggling operation.;2.094345;Twentieth Century Fox Film Corporation;United States of America;09/10/1971;41158757;104;English;Released;There are no rules and no holds barred when Popeye cuts loose!;The French Connection;7.4;392;3;1;2
1052;0;Drama|Mystery|Thriller;tt0060176;en;Blow-Up;A successful mod photographer in London whose world is bounded by fashion, pop music, marijuana, and easy sex, feels his life is boring and despairing. But in the course of a single day he accidentally captures on film the commission of a murder. The fact that he has photographed a murder does not occur to him until he studies and then blows up his negatives, uncovering details, blowing up smaller and smaller elements, and finally putting the puzzle together.;1.534559;Bridge Films;United Kingdom;18/12/1966;0;111;English;Released;Michelangelo Antonioni's first British film;Blow-Up;7.2;199;3;3;1
1058;0;Action|Drama|Romance|Thriller;tt0085276;en;Breathless;Jesse has to get out of Las Vegas quickly, and steals a car to drive to L.A. On the way he shoots a police man. When he makes it to L.A. he stays with Monica, a girl he has only known for a few days. As the film progresses, the police get closer to him, and the crimes escalate.;0.413308;Orion Pictures;United States of America;13/05/1983;19910002;100;English;Released;He's the last man on earth any woman needs - but every woman wants...;Breathless;5.6;66;3;1;1
1059;0;Adventure|Drama|Action|Comedy;tt0051808;ja;隠し砦の三悪人;Lured by gold, two greedy peasants escort a man and woman across enemy lines. However, they do not realize that their companions are actually a princess and her general.;0.970818;Toho Company;Japan;28/12/1958;0;139;日本語;Released;;The Hidden Fortress;8.0;103;1;1;1
1073;21500000;Drama|Thriller|Mystery;tt0137363;en;Arlington Road;Threats from sinister foreign nationals aren't the only thing to fear. Bedraggled college professor Michael Faraday has been vexed (and increasingly paranoid) since his wife's accidental death in a botched FBI operation. But all that takes a backseat when a seemingly all-American couple set up house next door.;1.441021;Lakeshore Entertainment;United States of America;19/03/1999;0;117;English;Released;Your Paranoia Is Real.;Arlington Road;7.0;220;5;1;1
1075;0;Comedy|Romance;tt0118843;sr;Crna mačka, beli mačor;Matko is a small time hustler, living by the Danube with his 17 year old son Zare. After a failed business deal he owes money to the much more successful gangster Dadan. Dadan has a sister, Afrodita, that he desperately wants to see get married so they strike a deal: Zare is to marry her.;0.723833;Ciby 2000;Romania;01/06/1998;0;127;Srpski;Released;;Black Cat, White Cat;7.7;150;1;5;1
1088;8000000;Drama|Family;tt0298228;en;Whale Rider;On the east coast of New Zealand, the Whangara people believe their presence there dates back a thousand years or more to a single ancestor, Paikea, who escaped death when his canoe capsized by riding to shore on the back of a whale. From then on, Whangara chiefs, always the first-born, always male, have been considered Paikea's direct descendants. Pai, an 11-year-old girl in a patriarchal New Zealand tribe, believes she is destined to be the new chief. But her grandfather Koro is bound by tradition to pick a male leader. Pai loves Koro more than anyone in the world, but she must fight him and a thousand years of tradition to fulfill her destiny.;0.941307;South Pacific Pictures;New Zealand;30/01/2003;41400000;101;English;Released;;Whale Rider;7.1;103;1;1;2
1089;24000000;Action|Thriller|Crime;tt0102685;en;Point Break;In the coastal town of Los Angeles, a gang of bank robbers call themselves The Ex-Presidents commit their crimes while wearing masks of Reagan, Carter, Nixon and Johnson. The F.B.I. believes that the members of the gang could be surfers and send young agent Johnny Utah undercover at the beach to mix with the surfers and gather information.;2.278413;20th Century Fox;United States of America;12/07/1991;83531958;120;English;Released;Twenty-seven banks in three years. Anything to catch the perfect wave.;Point Break;6.9;769;3;1;1
1090;16000000;Thriller|Science Fiction|Mystery;tt0139809;en;The Thirteenth Floor;Computer scientist Hannon Fuller has discovered something extremely important. He's about to tell the discovery to his colleague, Douglas Hall, but knowing someone is after him, the old man leaves a letter in his computer generated parallel world that's just like the 30's with seemingly real people with real emotions.;2.997341;Columbia Pictures;United States of America;16/04/1999;18564088;100;English;Released;Question reality. You can go there even though it doesn't exist.;The Thirteenth Floor;6.7;348;2;1;1
1091;15000000;Horror|Mystery|Science Fiction;tt0084787;en;The Thing;Scientists in the Antarctic are confronted by a shape-shifting alien that assumes the appearance of the people that it kills.;5.691699;Universal Pictures;United States of America;25/06/1982;19629760;109;English;Released;Man is The Warmest Place to Hide.;The Thing;7.8;1455;2;1;2
1092;0;Thriller|Mystery;tt0041959;en;The Third Man;"Set in postwar Vienna, Austria, ""The Third Man"" stars Joseph Cotten as Holly Martins, a writer of pulp Westerns, who arrives penniless as a guest of his childhood chum Harry Lime, only to find him dead. Martins develops a conspiracy theory after learning of a ""third man"" present at the time of Harry's death, running into interference from British officer Maj. Calloway and falling head-over-heels for Harry's grief-stricken lover, Anna.";2.554627;London Film Productions;United Kingdom;31/08/1949;596349;104;English;Released;Hunted by men ... Sought by WOMEN!;The Third Man;7.9;387;3;1;3
1093;0;Drama|Thriller|Crime;tt0051378;fr;Ascenseur pour l'échafaud;The feature-film debut of famed director Louis Malle is an interesting, modern film noir with the classic theme of lovers plotting to kill the husband and make it look like suicide (reminiscent of The Postman Always Rings Twice). Jeanne Moreau gives an astonishing performance, perverse but naive as she leads her young lover down a path that can only lead to doom for both of them.;1.442167;Nouvelles Éditions de Film;France;29/01/1958;263404;88;Deutsch;Released;Frantic for life and love - Frantic for excitement;Elevator to the Gallows;7.6;68;1;1;2
1103;6000000;Science Fiction|Action;tt0082340;en;Escape from New York;In 1997, the island of Manhattan has been walled off and turned into a giant maximum security prison within which the country's worst criminals are left to form their own anarchic society. However, when the President of the United States crash lands on the island, the authorities turn to a former soldier and current convict, Snake Plissken, to rescue him.;2.413508;AVCO Embassy Pictures;United States of America;22/05/1981;50244700;99;English;Released;1997. New York City is now a maximum security prison. Breaking out is impossible. Breaking in is insane.;Escape from New York;6.9;660;4;2;1
1114;0;Documentary|Drama;tt0373861;mn;Die Geschichte vom weinenden Kamel;When a Mongolian nomadic family's newest camel colt is rejected by its mother, a musician is needed for a ritual to change her mind.;0.130945;Hochschule für Fernsehen und Film (HFF);Mongolia;29/06/2003;0;91;;Released;;The Weeping Camel;7.9;41;1;1;1
1115;0;Drama;tt0419773;de;Gespenster;Nina, an end-of-teenage orphan with mental problems, starts a new job as a garden cleaner when she meets Toni. They fell in love with each other, but soon Toni starts betraying Nina. In the meantime, Francoise is picked up at a psychic department of a Berlin hospital by her husband, Pierre. After seeing Nina, Francoise believes that she has found her kidnapped daughter Marie, but neither Toni nor Pierre believe her. Nina is unsure about what to think...;0.410113;none;Germany;15/09/2005;0;85;Français;Released;;Ghosts;7.3;5;0;1;2
1116;6500000;Drama|History|War;tt0460989;en;The Wind That Shakes the Barley;Set during the 1920’s Irish revolution against the British, an Irish medical student is about to start his new job in London – but after he witnesses the mercenary atrocities of the British, he decides to join his brother in the IRA to fight for Irish independence.;1.627874;BIM Distribuzione;Ireland;18/05/2006;22889018;124;English;Released;Winner of the PALME D'OR at the 2006 Cannes Film Festival.;The Wind That Shakes the Barley;7.0;144;16;8;3
1123;0;Action|Drama|Thriller;tt0437232;en;Catch a Fire;The true story of anti-apartheid activists in South Africa, and particularly the life of Patrick Chamusso, a timid foreman at Secunda CTL, the largest synthetic fuel plant in the world. Patrick is wrongly accused, imprisoned and tortured for an attempt to bomb the plant, with the injustice transforming the apolitical worker into a radicalised insurgent, who then carries out his own successful sabotage mission.;1.277852;Mirage Enterprises;France;27/10/2006;4291965;101;Afrikaans;Released;The spark that ignites us, unites us.;Catch a Fire;6.4;23;3;4;3
1124;40000000;Drama|Mystery|Thriller;tt0482571;en;The Prestige;A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.;7.54731;Touchstone Pictures;United States of America;19/10/2006;109676311;130;English;Released;Are You Watching Closely?;The Prestige;7.9;3974;2;1;1
1125;70000000;Drama;tt0443489;en;Dreamgirls;Three young women – Deena Jones, Effie White and Lorrell Robinson – dream of becoming pop stars and they get their wish when they're chosen to be backup singers for the legendary James 'Thunder' Early.;0.929797;Paramount Pictures;United States of America;25/12/2006;154937680;134;English;Released;One Dream Will Change Everything;Dreamgirls;6.5;250;3;1;1
1126;0;Drama|Thriller;tt0385017;en;In My Father's Den;Paul (Macfadyen), a prize-winning war journalist, returns to his remote New Zealand hometown due to the death of his father, battle-scarred and world-weary. For the discontented sixteen-year-old Celia (Barclay) he opens up a world she has only dreamed of. She actively pursues a friendship with him, fascinated by his cynicism and experience of the world beyond her small-town existence. But many, including the members of both their families (Otto, Moy), frown upon the friendship and when Celia goes missing, Paul becomes the increasingly loathed and persecuted prime suspect in her disappearance. As the violent and urgent truth gradually emerges, Paul is forced to confront the family tragedy and betrayal that he ran from as a youth, and to face the grievous consequences of silence and secrecy that has surrounded his entire adult life.;1.396735;IFMD Ltd.;New Zealand;11/06/2004;0;126;English;Released;;In My Father's Den;7.4;25;2;1;1
1127;0;Drama;tt0434292;es;Princesas;Set in Spain, the story is about friendship and love in the world of prostitution.;0.652494;Reposado Producciones;Spain;02/09/2005;0;113;Español;Released;;Princesses;7.0;21;4;1;1
1162;500000;Drama;tt0056241;en;The Miracle Worker;The true story of the frightening, lonely world of silence and darkness of 7-year-old Helen Keller who, since infancy, has never seen the sky, heard her mother's voice or expressed her innermost feelings. Then Annie Sullivan, a 20-year-old teacher from Boston, arrives. Having just recently regained her own sight, the no-nonsense Annie reaches out to Helen through the power of touch, the only tool they have in common, and leads her bold pupil on a miraculous journey from fear and isolation to happiness and light.;0.790437;Playfilm Productions;United States of America;22/05/1962;2500000;106;English;Released;An emotional earthquake!;The Miracle Worker;7.5;58;1;1;1
1163;0;Drama|TV Movie;tt0246786;en;The Miracle Worker;Devoted teacher Anne Sullivan (Alison Elliott) leads deaf, blind and mute Helen Keller (Hallie Kate Eisenberg) out of solitude and helps integrate her into the world.;0.220534;Walt Disney Television;United States of America;12/11/2000;0;95;English;Released;;The Miracle Worker;4.1;4;1;1;1
1164;25000000;Drama;tt0449467;en;Babel;Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families.;2.824886;Paramount Vantage;France;08/09/2006;135330182;143;العربية;Released;If You Want to be Understood...Listen;Babel;6.9;977;4;4;6
1165;15000000;Drama;tt0436697;en;The Queen;The Queen is an intimate behind the scenes glimpse at the interaction between HM Elizabeth II and Prime Minister Tony Blair during their struggle, following the death of Diana, to reach a compromise between what was a private tragedy for the Royal family and the public's demand for an overt display of mourning.;2.689635;BIM Distribuzione;France;15/09/2006;123384128;103;Deutsch;Released;Our Leaders. Ourselves.;The Queen;6.8;305;8;4;3
1213;40000000;Thriller|Crime|Drama;tt0134119;en;The Talented Mr. Ripley;Tom Ripley is a calculating young man who believes it's better to be a fake somebody than a real nobody. Opportunity knocks in the form of a wealthy U.S. shipbuilder who hires Tom to travel to Italy to bring back his playboy son, Dickie. Ripley worms his way into the idyllic lives of Dickie and his girlfriend, plunging into a daring scheme of duplicity, lies and murder.;2.694164;Paramount Pictures;United States of America;25/12/1999;128798265;139;English;Released;How far would you go to become someone else?;The Talented Mr. Ripley;7.0;715;4;1;2
