id;budget;genres;imdb_id;original_language;original_title;overview;popularity;production_companies;production_countries;release_date;revenue;runtime;spoken_languages;status;tagline;title;vote_average;vote_count;production_companies_number;production_countries_number;spoken_languages_number
9530;50000000;Comedy|Family|Adventure;tt0449089;en;RV;Climbing aboard their mammoth recreational vehicle for a cross-country road trip to the Colorado Rockies, the McNeive family – led by dysfunctional patriarch, Bob – prepares for the adventure of a lifetime. But spending two weeks together in one seriously small space has a way of cramping their style.;2.64646;Columbia Pictures;Germany;28/04/2006;87528173;99;English;Released;One Family. Eight Wheels. No brakes.;RV;5.6;448;1;3;1
9531;39000000;Comedy|Action|Adventure|Fantasy|Science Fiction;tt0086393;en;Superman III;Aiming to defeat the Man of Steel, wealthy executive Ross Webster hires bumbling but brilliant Gus Gorman to develop synthetic kryptonite, which yields some unexpected psychological effects in the third installment of the 1980s Superman franchise. Between rekindling romance with his high school sweetheart and saving himself, Superman must contend with a powerful supercomputer.;1.944458;Warner Bros.;United Kingdom;17/06/1983;75850624;125;English;Released;If the world's most powerful computer can control even Superman...no one on earth is safe.;Superman III;5.2;458;3;2;4
9532;23000000;Horror;tt0195714;en;Final Destination;After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.;3.272231;New Line Cinema;United States of America;16/03/2000;53302314;98;English;Released;No accidents. No coincidences. No escapes. You can't cheat death.;Final Destination;6.4;1230;3;1;2
9533;78000000;Crime|Thriller|Horror;tt0289765;en;Red Dragon;Former FBI Agent Will Graham, who was once almost killed by the savage Hannibal 'The Cannibal' Lecter, now has no choice but to face him again, as it seems Lecter is the only one who can help Graham track down a new serial killer.;0.874431;Universal Pictures;Germany;29/09/2002;209196298;124;English;Released;Before the Silence.;Red Dragon;6.7;1033;2;2;1
9534;6000000;Thriller|Comedy|Crime;tt0395125;es;Crimen Ferpecto;A playboy has the tables turned on him when he finds himself being used as a plaything by an undesirable woman in this black comedy from Spain.;0.888834;none;Spain;10/09/2004;0;105;Español;Released;;Ferpect Crime;6.7;58;0;2;1
9535;80000000;Comedy|Crime;tt0122933;en;Analyze This;"Countless wiseguy films are spoofed in this film that centers on the neuroses and angst of a powerful Mafia racketeer who suffers from panic attacks. When Paul Vitti needs help dealing with his role in the ""family,"" unlucky shrink Dr. Ben Sobel is given just days to resolve Vitti's emotional crisis and turn him into a happy, well-adjusted gangster.";2.399537;Spring Creek Productions;Australia;05/03/1999;176885658;103;English;Released;New York's most powerful gangster is about to get in touch with his feelings. YOU try telling him his 50 minutes are up.;Analyze This;6.4;468;4;2;1
9536;15000000;Comedy;tt0115683;en;Bio-Dome;"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.";1.576784;Metro-Goldwyn-Mayer (MGM);United States of America;12/01/1996;0;88;English;Released;Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?;Bio-Dome;4.2;100;4;1;2
9537;0;Thriller|Horror;tt0814040;en;The Call;Pirelli Film's first promotional short, starring John Malcovich and Naomi Campbell.;0.003033;none;Italy;01/03/2006;0;11;English;Released;;The Call;2.5;2;0;1;2
9538;4100000;Horror|Science Fiction|Thriller;tt0081455;en;Scanners;"Darryl Revok is the most powerful of all the scanners, and is the head of the underground scanner movement for world domination. Scanners have great psychic power, strong enough to control minds; they can inflict enormous pain/damage on their victims. Doctor Paul Ruth finds a scanner that Revok hasn't, and converts him to their cause - to destroy the underground movement.";2.228489;Canadian Film Development Corporation (CFDC);Canada;14/01/1981;14225876;103;English;Released;10 Seconds: The Pain Begins. 15 Seconds: You Can't Breathe. 20 Seconds: You Explode.;Scanners;6.5;224;3;1;2
9539;6500000;Horror|Drama|Thriller;tt1029234;fr;Martyrs;A young woman's quest for revenge against the people who kidnapped and tormented her as a child leads her and a friend, who is also a victim of child abuse, on a terrifying journey into a living hell of depravity.;1.444627;Eskwad;Canada;03/09/2008;0;99;Français;Released;They did not finish to be alive...;Martyrs;7.3;520;6;2;1
